Date,^GSPC,^STOXX50E,^IRX,^TNX,EURUSD=X,JPYUSD=X,CL=F,GC=F
2018-01-02,,,,,0.0005523534177722327,-0.0009226411410140095,,
2018-01-03,0.006378433243936035,,-0.005822444496439646,-0.007328977301869084,0.004309459786959923,0.00467528039332409,0.020656507189724515,0.0019012136171542553
2018-01-04,0.004020542855326989,0.016669972772014527,0.0,0.0024489978953913397,-0.0044055338609388685,-0.0032288689819371915,0.00614685298886259,0.0024283463684654956
2018-01-05,0.007009145888585348,0.010799226326122364,0.0,0.009332590056308774,0.004851896369631849,-0.0015616307460117717,-0.009234568806432161,0.0006819141750703172
2018-01-08,0.001660963767296979,0.002441853618633499,0.007272752393174878,0.0016141845430808664,-0.0026034254630769985,-0.0032841277198661224,0.004708962502551161,-0.0012884713036933884
2018-01-09,0.0013020835172984225,0.0017736935618672665,0.02504600842243766,0.02626493376571207,-0.005581836821075154,0.0001148607346470158,0.019729560577509075,-0.005246580568031189
2018-01-10,-0.0011128458115206878,-0.003605860284400798,-0.01423510253563046,0.0015698388373135256,-0.003441541320087566,0.00341754445652182,0.009642066579956643,0.004336147142567866
2018-01-11,0.007009025768882019,-0.004049955849029884,0.005718397480527118,-0.007478898848380493,0.0022451934756694413,0.01169512762996037,0.0036115222447539275,0.002426044534775419
2018-01-12,0.006726926399094035,0.004819786920731888,0.004976881636204035,0.008262941797533438,0.007163443657419456,0.0013468097921394335,0.007806500312368358,0.009645929220218629
2018-01-16,,0.002820075101496084,-0.01069527911673112,-0.003139773180082221,0.0062252298447128904,0.004682416687929907,-0.008904276561471199,0.0014988012123869202
2018-01-17,0.009371006206502086,-0.0025515558645144596,0.0142351025356305,0.013276320911900416,0.00023307764364815267,0.0017468764897534117,0.003758840401134642,0.0019450709821960197
2018-01-18,-0.0016176974974736241,0.0022477839944466844,-0.007092221713653067,0.012719381941343061,-0.007140809171959861,-0.0089104737473313,-0.00031270258937618977,-0.009009069942365968
2018-01-19,0.004375647986990156,0.007747008152473358,-0.001424483341450436,0.009908626103305642,0.004310183172470693,0.0031474084532171907,-0.009110993474894684,0.004439620791428774
