,^GSPC,^STOXX50E,^IRX,^TNX,EURUSD=X,JPYUSD=X,CL=F,GC=F,CAP_120M,CAP_12M,CAP_1M,CAP_24M,CAP_3M,CAP_60M,CAP_6M,FLOOR_120M,FLOOR_12M,FLOOR_1M,FLOOR_24M,FLOOR_3M,FLOOR_60M,FLOOR_6M,SWAPTION_PAYER_120M,SWAPTION_PAYER_12M,SWAPTION_PAYER_1M,SWAPTION_PAYER_24M,SWAPTION_PAYER_3M,SWAPTION_PAYER_60M,SWAPTION_PAYER_6M,SWAPTION_RECEIVER_120M,SWAPTION_RECEIVER_12M,SWAPTION_RECEIVER_1M,SWAPTION_RECEIVER_24M,SWAPTION_RECEIVER_3M,SWAPTION_RECEIVER_60M,SWAPTION_RECEIVER_6M
2018-01-02,,,,,0.0005523534177722327,-0.0009226411410140095,,,0.07287214285714286,0.05169571428571428,0.044147285714285715,0.06182657142857143,0.050569857142857146,0.06456028571428571,0.049619857142857146,0.0752207142857143,0.051515285714285715,0.036571428571428574,0.05959757142857142,0.05237257142857143,0.06551342857142857,0.05486142857142857,0.07178842857142856,0.057106285714285714,0.04398071428571428,0.060334,0.04622042857142857,0.06648699999999999,0.051451142857142855,0.07246571428571429,0.05552814285714286,0.043962857142857144,0.05392028571428571,0.04847257142857143,0.06945257142857143,0.053241
2018-01-03,0.006378433243936035,,-0.005822444496439646,-0.007328977301869084,0.004309459786959923,0.00467528039332409,0.020656507189724515,0.0019012136171542553,0.06976171428571429,0.048109000000000006,0.04520228571428571,0.060586999999999995,0.050095,0.06910371428571428,0.047236999999999994,0.07358971428571429,0.05445285714285714,0.04278357142857143,0.05833114285714285,0.05420057142857143,0.06621071428571428,0.05397757142857142,0.07257557142857142,0.05607714285714286,0.04667428571428572,0.062748,0.05064871428571428,0.06454257142857144,0.049539285714285716,0.07520928571428571,0.054987,0.04473128571428571,0.050954,0.04483928571428571,0.06948457142857142,0.05628514285714286
2018-01-04,0.004020542855326989,0.016669972772014527,0.0,0.0024489978953913397,-0.0044055338609388685,-0.0032288689819371915,0.00614685298886259,0.0024283463684654956,0.0655637142857143,0.04552671428571429,0.045503999999999996,0.061807714285714285,0.046704857142857145,0.06825371428571429,0.04936514285714285,0.07368,0.055333428571428575,0.04757385714285715,0.062332,0.05635285714285714,0.06570214285714286,0.05779128571428571,0.07076271428571428,0.051232999999999994,0.046980714285714285,0.064013,0.04923971428571428,0.06662228571428572,0.048739428571428565,0.07651957142857144,0.05011885714285714,0.04807785714285714,0.05443842857142857,0.04350614285714286,0.07290071428571429,0.054522428571428576
2018-01-05,0.007009145888585348,0.010799226326122364,0.0,0.009332590056308774,0.004851896369631849,-0.0015616307460117717,-0.009234568806432161,0.0006819141750703172,0.06717828571428572,0.04951671428571429,0.04744771428571428,0.07200485714285713,0.04662828571428571,0.06825542857142856,0.04766328571428572,0.07201971428571428,0.053306714285714284,0.04983542857142857,0.06440357142857142,0.05679128571428571,0.06206585714285714,0.06107214285714286,0.07067557142857143,0.05058914285714285,0.050378,0.061398999999999995,0.051119142857142856,0.06425585714285714,0.04887628571428571,0.074236,0.04882685714285714,0.04644257142857143,0.05344842857142857,0.04578214285714286,0.07015514285714286,0.05181
2018-01-08,0.001660963767296979,0.002441853618633499,0.007272752393174878,0.0016141845430808664,-0.0026034254630769985,-0.0032841277198661224,0.004708962502551161,-0.0012884713036933884,0.06770042857142858,0.04903214285714286,0.04986985714285714,0.07538157142857142,0.05131157142857142,0.07160757142857142,0.051176285714285716,0.0734607142857143,0.05408314285714285,0.04797014285714286,0.061536571428571434,0.05375471428571429,0.06210157142857143,0.060788999999999996,0.07269685714285715,0.05032185714285714,0.05142342857142857,0.05763742857142857,0.05147742857142857,0.06683371428571429,0.05078457142857142,0.07323342857142857,0.045583,0.04406,0.05287971428571429,0.04539285714285714,0.07500771428571429,0.05063428571428571
2018-01-09,0.0013020835172984225,0.0017736935618672665,0.02504600842243766,0.02626493376571207,-0.005581836821075154,0.0001148607346470158,0.019729560577509075,-0.005246580568031189,0.06466485714285715,0.04613885714285714,0.05151242857142857,0.078399,0.05619271428571428,0.07021599999999999,0.05070057142857143,0.0732792857142857,0.053318,0.04852028571428572,0.06041785714285714,0.052153571428571424,0.06237742857142857,0.06343371428571429,0.07170457142857142,0.05255585714285715,0.05158742857142857,0.052869285714285716,0.05420985714285714,0.07029371428571428,0.055279714285714286,0.07140342857142858,0.04734614285714286,0.04465414285714286,0.05239914285714286,0.04871257142857143,0.07114628571428572,0.04897385714285714
2018-01-10,-0.0011128458115206878,-0.003605860284400798,-0.01423510253563046,0.0015698388373135256,-0.003441541320087566,0.00341754445652182,0.009642066579956643,0.004336147142567866,0.06257428571428572,0.04324985714285714,0.05537314285714286,0.08007814285714286,0.053479571428571425,0.07132042857142858,0.04659085714285714,0.07385028571428572,0.05409885714285715,0.05033571428571428,0.06043628571428571,0.05093685714285714,0.06089128571428571,0.065471,0.070688,0.04960757142857143,0.05285428571428571,0.05897657142857143,0.05662785714285714,0.07167028571428571,0.056049857142857144,0.07612114285714286,0.04819057142857142,0.04757828571428572,0.05114942857142857,0.049517285714285715,0.06468042857142857,0.053446714285714285
2018-01-11,0.007009025768882019,-0.004049955849029884,0.005718397480527118,-0.007478898848380493,0.0022451934756694413,0.01169512762996037,0.0036115222447539275,0.002426044534775419,0.057981,0.04119514285714286,0.05435071428571429,0.07760357142857142,0.05559942857142857,0.06738228571428571,0.046518142857142855,0.073774,0.05403371428571429,0.044612,0.05906371428571428,0.051460285714285715,0.06002914285714286,0.063303,0.07070699999999999,0.053197,0.052700000000000004,0.058645142857142854,0.05672485714285714,0.07332557142857143,0.05683914285714286,0.07653542857142857,0.050491999999999995,0.045902571428571425,0.050618142857142855,0.04727342857142857,0.06499842857142857,0.052828
2018-01-12,0.006726926399094035,0.004819786920731888,0.004976881636204035,0.008262941797533438,0.007163443657419456,0.0013468097921394335,0.007806500312368358,0.009645929220218629,0.05461371428571428,0.039719285714285714,0.05073414285714285,0.07522214285714286,0.053742142857142856,0.07014714285714285,0.04802585714285714,0.07409842857142857,0.05446314285714286,0.04342757142857143,0.05682214285714286,0.057958142857142854,0.06028042857142857,0.06379885714285714,0.07026842857142858,0.056329000000000004,0.05211157142857143,0.05594842857142857,0.055134142857142854,0.07253357142857143,0.05554485714285714,0.07790285714285715,0.04977771428571428,0.047507428571428575,0.052263,0.047485428571428574,0.06133928571428571,0.04682728571428572
2018-01-16,,0.002820075101496084,-0.01069527911673112,-0.003139773180082221,0.0062252298447128904,0.004682416687929907,-0.008904276561471199,0.0014988012123869202,0.06134714285714286,0.045562,0.03825,0.07675085714285713,0.05568628571428571,0.07824114285714286,0.052502,0.06750671428571428,0.05730842857142857,0.041330285714285715,0.052701,0.05873942857142857,0.06421571428571429,0.06402014285714286,0.07052585714285714,0.05469657142857143,0.04845442857142857,0.06073614285714286,0.05969928571428572,0.07291114285714285,0.05159457142857143,0.07886971428571429,0.053728285714285715,0.050911285714285714,0.049892285714285715,0.047839571428571426,0.06297671428571429,0.048276714285714284
